step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
322,0.0,3.52,4.880000000000001,15.620000000000001,7.68,25.82,10.76,2.22,
323,0.0,4.52,5.880000000000001,15.620000000000001,20.68,11.82,13.76,0,
324,0.0,2.52,0,23.62,6.68,62.82,9.76,0,
325,0.0,0.52,6.880000000000001,15.620000000000001,10.68,0,17.759999999999998,0,
326,0.0,0,5.880000000000001,14.620000000000001,5.68,40.82,14.76,0,
327,0.0,0,5.880000000000001,23.62,15.68,0,0.7599999999999998,0,
328,0.0,3.52,0,16.62,0,1.8200000000000003,0,0,
329,0.0,0,8.88,15.620000000000001,23.68,12.82,9.76,0,
330,0.0,6.52,8.88,15.620000000000001,2.6799999999999997,38.82,17.759999999999998,0,
331,0.0,3.52,0,26.62,2.6799999999999997,0,9.76,0,
332,0.0,3.52,37.88,16.62,1.68,16.82,16.759999999999998,0,
333,0.0,0,9.88,14.620000000000001,22.68,28.82,14.76,0,
334,0.0,1.52,3.880000000000001,12.620000000000001,13.68,50.82,15.76,0,
335,0.0,4.52,1.8800000000000008,15.620000000000001,5.68,33.82,8.76,0,
336,0.0,0.52,0,10.620000000000001,0,0,17.759999999999998,0,
337,0.0,0,9.88,7.620000000000001,21.68,19.82,0,0,
338,0.0,6.52,8.88,8.620000000000001,4.68,15.82,9.76,0,
339,0.0,2.52,89.88,8.620000000000001,16.68,28.82,17.759999999999998,11.22,
340,0.0,3.52,22.880000000000003,16.62,7.68,108.82,6.76,0,
341,0.0,0,7.880000000000001,11.620000000000001,0,17.82,0,0,
342,0.0,7.52,12.88,20.62,0,72.82,16.759999999999998,0,
343,0.0,3.52,6.880000000000001,11.620000000000001,0,40.82,17.759999999999998,0,
344,0.0,3.52,11.88,7.620000000000001,51.68,31.82,13.76,0,
345,0.0,0,15.88,13.620000000000001,0,36.82,8.76,0,
346,0.0,3.52,0,29.62,0,0,0,0,
347,0.0,2.52,4.880000000000001,12.620000000000001,0,110.82,6.76,0,
348,0.0,2.52,13.88,5.620000000000001,0,22.82,3.76,0,
349,0.0,7.52,10.88,11.620000000000001,8.68,22.82,8.76,0,
350,0.0,0,0,0,0,0,0,0,
351,0.0,0,1.8800000000000008,0.620000000000001,0,94.82,7.76,2.22,
352,0.0,1.52,14.88,7.620000000000001,0,50.82,2.76,0,
353,0.0,0,9.88,7.620000000000001,1.68,39.82,10.76,0,
354,0.0,8.52,20.880000000000003,10.620000000000001,83.68,29.82,9.76,0,
355,0.0,3.52,21.880000000000003,7.620000000000001,53.68,46.82,4.76,0,
356,0.0,0,19.880000000000003,10.620000000000001,0,14.82,8.76,0,
357,0.0,0,42.88,0,8.68,44.82,8.76,0,
358,0.0,0,0,5.620000000000001,19.68,0.8200000000000003,23.759999999999998,0,
359,0.0,0.52,17.880000000000003,3.620000000000001,90.68,9.82,5.76,0,
360,0.0,7.52,17.880000000000003,2.620000000000001,25.68,30.82,9.76,0,
361,0.0,0,30.880000000000003,18.62,0.6799999999999999,38.82,5.76,0,
362,0.0,2.52,17.880000000000003,5.620000000000001,0,104.82,17.759999999999998,0,
