step,tof,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
401,126,0.0,0.0,0.0,0.0,0,23.14,17.22,13.54,
402,126,0.0,0.0,0.0,0.0,0,0,43.22,12.54,
403,126,0.0,0.0,0.0,0.0,0,0,21.22,6.54,
404,125,0.0,0.0,0.0,0.0,0,2.1400000000000006,25.22,11.54,
405,125,0.0,0.0,0.0,0.0,0,1.1400000000000006,27.22,16.54,
406,125,0.0,0.0,0.0,0.0,0,0,50.22,69.54,
407,125,0.0,0.0,0.0,0.0,0,0.14000000000000057,22.22,10.54,
408,125,0.0,0.0,0.0,0.0,0,0,22.22,54.54,
409,121,0.0,0.0,0.0,0.0,0,0,19.22,17.54,
410,121,0.0,0.0,0.0,0.0,0,0,21.22,16.54,
411,121,0.0,0.0,0.0,0.0,0,0,9.22,0,
412,121,0.0,0.0,0.0,0.0,0,43.14,54.22,0,
413,121,0.0,0.0,0.0,0.0,0,0,21.22,17.54,
414,117,0.0,0.0,0.0,0.0,0,0,21.22,15.54,
415,117,0.0,0.0,0.0,0.0,0,37.14,0,122.54,
416,117,0.0,0.0,0.0,0.0,0,0,16.22,15.54,
